4,62 0,5 10,0 79,0 782,0 252,0 22,0 26,0 40,0 41,0 0,0 0,0 0,0 0,0 1 1 0 0
4,56 0,3 12,0 78,0 735,0 229,0 22,0 26,0 40,0 41,0 0,0 0,0 0,0 0,0 1 0 0 0
4,52 0,2 14,0 77,0 672,0 218,0 22,0 26,0 40,0 41,0 0,0 0,0 0,0 0,0 0 0 0 0
4,45 0,8 8,0 90,0 1011,0 358,0 22,0 26,0 40,0 41,0 0,0 0,0 0,0 0,0 0 0 0 1
4,45 0,6 9,0 71,0 765,0 260,0 22,0 26,0 41,0 50,0 0,0 0,0 0,0 0,0 1 0 0 0
4,55 0,4 1,0 69,0 1027,0 267,0 22,0 26,0 40,0 41,0 0,0 0,0 0,0 0,0 0 0 0 0
4,51 0,2 14,0 81,0 477,0 230,0 22,0 26,0 41,0 0,0 0,0 0,0 0,0 0,0 0 1 0 0
4,56 0,3 12,0 94,0 496,0 277,0 22,0 26,0 41,0 0,0 0,0 0,0 0,0 0,0 0 0 0 0
4,61 0,5 10,0 95,0 604,0 314,0 22,0 26,0 41,0 0,0 0,0 0,0 0,0 0,0 0 1 0 0
4,66 0,7 8,0 90,0 672,0 334,0 22,0 26,0 41,0 0,0 0,0 0,0 0,0 0,0 1 1 0 1
4,71 0,9 6,0 94,0 695,0 362,0 22,0 26,0 41,0 0,0 0,0 0,0 0,0 0,0 1 1 0 1
4,76 1,1 4,0 97,0 715,0 382,0 22,0 26,0 41,0 0,0 0,0 0,0 0,0 0,0 1 0 1 0
4,51 25,0 0,5 79,0 348,0 202,0 22,0 41,0 0,0 0,0 0,0 0,0 0,0 0,0 0 0 0 1
4,54 20,0 0,3 79,0 606,0 284,0 22,0 26,0 41,0 0,0 0,0 0,0 0,0 0,0 0 1 0 1
4,56 18,0 0,2 78,0 625,0 255,0 22,0 26,0 41,0 0,0 0,0 0,0 0,0 0,0 1 0 0 1
4,58 15,0 0,1 79,0 629,0 246,0 22,0 26,0 41,0 0,0 0,0 0,0 0,0 0,0 0 0 0 0
4,48 28,0 0,6 90,0 740,0 293,0 22,0 26,0 41,0 0,0 0,0 0,0 0,0 0,0 0 0 1 0
4,43 30,0 0,7 110,0 1250,0 430,0 22,0 26,0 73,0 0,0 0,0 0,0 0,0 0,0 1 0 1 0
4,49 26,0 0,5 121,0 1360,0 410,0 22,0 26,0 73,0 0,0 0,0 0,0 0,0 0,0 0 0 0 0
4,61 12,0 0,1 66,0 650,0 314,0 22,0 42,0 50,0 0,0 0,0 0,0 0,0 0,0 0 0 0 1
4,5 27,0 0,4 91,0 537,0 350,0 22,0 42,0 0,0 0,0 0,0 0,0 0,0 0,0 0 0 1 0
4,52 24,0 0,3 89,0 511,0 312,0 22,0 42,0 50,0 0,0 0,0 0,0 0,0 0,0 1 0 0 0
4,58 16,0 0,2 78,0 441,0 271,0 22,0 42,0 50,0 0,0 0,0 0,0 0,0 0,0 0 0 0 1
5,97 10,0 0,3 62,0 810,0 241,3 22,0 40,0 41,0 0,0 0,0 0,0 0,0 0,0 0 0 1 0
6,08 8,0 0,2 65,0 782,0 244,4 22,0 40,0 41,0 0,0 0,0 0,0 0,0 0,0 0 1 0 0
6,17 6,0 0,1 64,0 729,0 244,0 22,0 40,0 41,0 0,0 0,0 0,0 0,0 0,0 0 0 0 0
6,37 4,0 0,1 63,0 682,0 235,6 22,0 40,0 41,0 0,0 0,0 0,0 0,0 0,0 0 1 0 0
4,57 25,0 0,5 66,0 501,0 220,0 22,0 40,0 41,0 0,0 0,0 0,0 0,0 0,0 0 0 1 0
4,78 20,0 0,3 62,0 1038,0 218,0 22,0 26,0 40,0 41,0 0,0 0,0 0,0 0,0 1 0 0 0
4,52 28,0 0,6 60,0 665,0 260,0 22,0 41,0 50,0 0,0 0,0 0,0 0,0 0,0 0 0 0 0
6,18 5,0 0,1 73,0 1107,0 365,0 22,0 40,0 41,0 73,0 0,0 0,0 0,0 0,0 0 0 1 0
6,23 4,0 0,1 75,0 932,0 422,0 22,0 40,0 41,0 73,0 0,0 0,0 0,0 0,0 1 1 1 0
6,28 3,0 0,1 77,0 953,0 433,0 22,0 40,0 41,0 73,0 0,0 0,0 0,0 0,0 0 0 0 0
4,95 18,0 0,3 83,0 936,0 452,0 22,0 26,0 42,0 0,0 0,0 0,0 0,0 0,0 0 0 1 0
5,96 11,0 0,2 65,0 600,0 175,0 22,0 40,0 41,0 73,0 0,0 0,0 0,0 0,0 0 0 0 0
5,84 12,0 0,2 66,9 806,0 282,0 22,0 40,0 41,0 50,0 0,0 0,0 0,0 0,0 1 0 0 0